Core-25    position
A1 Thimble NA NA
B1 6315 1 7.83974160265
B2 10880 14 2.25189596642
B3 6577 1 7.76977696153
B4 2966 20 7.52561605157
B5 10895 2 2.12219162769
B6 11341 23 1.0275383531
C1 11351 2 2.04272726114
C2 6316 1 7.570599517
C3 2963 19 6.9687816886
C4 10894 2 0.237002650464
C5 2953 18 6.63727136291
C6 3082 4 14.592759476
C7 Pulse NA NA
C8 2933 13 5.27551430516
C9 6314 1 7.44273812593
C10 6527 1 7.34209194323
C11 6317 1 7.82232842405
C12 6526 1 6.95866067396
D1 3380 4 17.8257826427
D2 3330 1 15.8550407738
D3 10706 1 0
D4 Safety NA NA
D5 3144 4 18.2680461487
D6 6224 2 6.68753089272
D7 3018 1 18.5616935881
D8 3105 4 17.6858989091
D9 2452 4 15.9331883966
D10 10893 2 0
D11 2435 5 12.6515529474
D12 3876 1 16.3920277766
D13 3696 4 15.8029422567
D14 3494 2 15.2390920621
D15 3501 1 15.5945172433
D16 Shim NA NA
D17 3498 1 15.6145628422
D18 3336 4 15.7596464689
E1 Reg NA NA
E2 2986 22 6.63455004485
E3 2458 5 14.1346413429
E4 3006 4 14.8669626891
E5 5014 1 24.3940418442
E6 4744 1 23.8278241739
E7 3147 5 18.4561967821
E8 4991 1 24.6003569461
E9 4742 1 36.1819899378
E10 4351 2 30.2321013223
E11 3107 4 20.0637589823
E12 3690 1 14.3282941822
E13 2987 23 5.71603077344
E14 3118 4 16.9920257118
E15 2934 14 6.58674997803
E16 4343 1 26.1761892624
E17 3517 1 9.73170764154
E18 3502 4 9.79375411884
E19 3503 1 14.2142628868
E20 3009 1 16.8527677169
E21 3011 1 17.9413566783
E22 3014 1 17.7703011859
E23 3008 4 15.3777058945
E24 3111 4 17.8246423688
F1 5017 1 28.1031585698
F2 5018 1 27.1860506359
F3 5027 2 26.3679466611
F4 5021 1 27.0839921072
F5 5026 1 26.9787223303
F6 6223 2 6.20957866964
F7 5256 1 29.8550700248
F8 6525 1 7.26350376772
F9 5001 1 24.6650123733
F10 Source NA NA
F11 5949 1 31.8648726737
F12 2900 8 5.22930588935
F13 3329 4 18.4349568837
F14 5653 1 31.7792241856
F15 2448 5 15.5335842595
F16 5655 1 32.2002177393
F17 5939 1 33.2054333749
F18 5946 1 32.2856083799
F19 3113 4 16.9129084692
F20 2949 17 4.48846889942
F21 5649 1 27.832621533
F22 2917 12 4.20888854431
F23 5000 1 32.1989177687
F24 5948 1 33.3296607153
F25 5022 1 30.8712817998
F26 2907 9 5.48119976175
F27 5944 2 32.2141671691
F28 3326 1 19.7587728116
F29 2914 11 6.27282082206
F30 2909 10 4.4599093846
